,name,year,month,uri,bio,rank,listUri,finalWorth,factivaHits,webHits,tvRadio,recentEarnings,recentSales,recentBudget,gdp,budget,assets,totalCompensation,salary,bonus,stockOptions,population,audienceWeb,audiencePrint,audienceTv,employees,following,person,visible,personName,age,country,state,city,source,industries,countryOfCitizenship,timestamp,version,socialRank,naturalId,position,shortUri,galleryShortUri,listShortUri,date,wealthList,familyList,thumbnail,squareImage,bioSuppress,otherCompensation,countryRank,moneyRank,tvRadioRank,pressRank,webRank,imageExists,change,changePercent,selfMade,status,gender,birthDate,countryId,lastName,firstName,listDescription,category,organization,title,employment,numberOfSiblings,numberOfSiblingsEst,csfDisplayFields,suppressOnProfiles,premiumProfile,embargo,previousRank,portraitImage,landscapeImage,residenceStateRegion,residenceMsa,selfMadeRank,parentListUri
0,Billionaires,2008,3,warren-buffett,"America's most beloved investor is now the world's richest man. Soared past friend and bridge partner Bill Gates as shares of Berkshire Hathaway climbed 25% since the middle of last July. Son of Nebraska politician delivered newspapers as a boy. Filed first tax return at age 13, claiming $35 deduction for bicycle. Studied under value investing guru Benjamin Graham at Columbia. Took over textile firm Berkshire Hathaway 1965. Today holding company invested in insurance (Geico, General Re), jewelry (Borsheim's), utilities (MidAmerican Energy), food (Dairy Queen, See's Candies). Also has noncontrolling stakes in Anheuser-Busch, Coca-Cola, Wells Fargo. Insurance operations flourished in 2007. ""That party is over. It's a certainty that insurance-industry profit margins, including ours, will fall significantly in 2008."" The Oracle of Omaha issued a challenge to members of The Forbes 400 in October; said he would donate $1 million to charity if the collective group of richest Americans would admit they pay less taxes, as a percentage of income, than their secretaries. Had long promised to give away his fortune posthumously. Irrevocably earmarked the majority of his Berkshire shares to charity in 2006, mostly to the Bill &#38; Melinda Gates Foundation. Gift was valued at $31 billion on day of announcement; donation will far exceed that sum so long as Berkshire shares continue to rise.",1,billionaires,62000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'name': 'Warren Buffett', 'uri': 'warren-buffett', 'squareImage': '//specials-images.forbesimg.com/imageserve/5babb7f1a7ea4342a948b79a/416x416.jpg?background=000000&cropX1=748&cropX2=3075&cropY1=1753&cropY2=4082'}",True,Warren Buffett,77.0,United States,Nebraska,Omaha,,['Investments'],United States,1309538144809,1309538202111,0.0,faris/5/2008/5381,1,http://onforb.es/1IR6Yer,http://onforb.es/1zwsorO,http://onforb.es/1IR71XC,1204347600000,False,False,http://specials-images.forbesimg.com/imageserve/5babb7f1a7ea4342a948b79a/280x425.jpg?fit=scale&background=000000,//specials-images.forbesimg.com/imageserve/5babb7f1a7ea4342a948b79a/416x416.jpg?background=000000&cropX1=748&cropX2=3075&cropY1=1753&cropY2=4082,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Billionaires,2008,3,carlos-slim-helu,"Second-richest man in the world this year; even richer than Microsoft's Bill Gates, at least for now, thanks to strong Mexican equities market and the performance of his wireless telephone company, America Movil. The son of a Lebanese immigrant, Slim made his first fortune in 1990 when he bought fixed line operator Telefonos de Mexico (Telmex) in a privatization. In December, America Movil struck a deal with Yahoo to provide mobile Web services to 16 countries in Latin America and the Caribbean. A widower and father of six, Slim is a baseball fan and art collector. He keeps his art collection in Mexico City's Museo Soumaya, which he named after his late wife. In recent years, he has donated close to $7 billion worth of cash and stock to fund education and health projects, and to the revitalization of Mexico City's downtown historical district.",2,billionaires,60000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'name': 'Carlos Slim Helu & family', 'uri': 'carlos-slim-helu', 'squareImage': '//specials-images.forbesimg.com/imageserve/5c76ba144bbe6f24ad99c613/416x416.jpg?background=000000&cropX1=0&cropX2=3005&cropY1=389&cropY2=3395'}",True,Carlos Slim Helu & family,68.0,Mexico,,Mexico City,,,Mexico,1309538138543,1309538162614,0.0,faris/5/2008/4466,2,http://onforb.es/1IR6Yer,http://onforb.es/1zwsjo9,http://onforb.es/1IR71XC,1204347600000,False,False,http://specials-images.forbesimg.com/imageserve/5c76ba144bbe6f24ad99c613/280x425.jpg?fit=scale&background=000000,//specials-images.forbesimg.com/imageserve/5c76ba144bbe6f24ad99c613/416x416.jpg?background=000000&cropX1=0&cropX2=3005&cropY1=389&cropY2=3395,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Billionaires,2008,3,bill-gates,"Harvard dropout and Microsoft visionary no longer the world's richest man. Blame Yahoo: Microsoft shares have fallen 15% since the company boldly attempted to merge with the search engine giant to better fight Google for Internet dominance. Gates is preparing to give up day-to-day involvement in the company he cofounded 33 years ago to spend more time focused on his philanthropic endeavors. Bill &#38; Melinda Gates Foundation has $38.7 billion in assets, donates to causes aimed at bringing financial tools to the poor, speeding up the development of vaccines (for AIDS, malaria, tuberculosis), bettering America's lagging high schools. Sells 20 million Microsoft shares every quarter, proceeds going to private investment vehicle Cascade; more than half of net worth now outside of Microsoft. Company spent $6 billion to land Web ad firm Aquantive last May. Would-be rival to Apple's iPod, the Zune, not yet a hit. Believes Microsoft's far-flung bets, including 10-year affair with Internet-based television, may soon pay off; says next 10 years will be the ""most interesting"" in software history.",3,billionaires,58000.0,,,,,,,,,,,,,,,,,,,,"{'name': 'Bill Gates', 'uri': 'bill-gates', 'imageExists': True, 'squareImage': 'https://specials-images.forbesimg.com/imageserve/62d599ede3ff49f348f9b9b4/416x416.jpg?background=000000&cropX1=155&cropX2=976&cropY1=340&cropY2=1161'}",True,Bill Gates,52.0,United States,Washington,Medina,,['Technology'],United States,1337117025671,1337117108248,0.0,faris/5/2008/5772,3,http://onforb.es/1IR6Yer,http://onforb.es/1zwslMH,http://onforb.es/1IR71XC,1204347600000,False,False,http://specials-images.forbesimg.com/imageserve/62d599ede3ff49f348f9b9b4/280x425.jpg?fit=scale&background=000000,https://specials-images.forbesimg.com/imageserve/62d599ede3ff49f348f9b9b4/416x416.jpg?background=000000&cropX1=155&cropX2=976&cropY1=340&cropY2=1161,False,0.0,2.0,0.0,0.0,0.0,0.0,True,2000.0,3.5714285714285836,False,U,M,-447451200000.0,225.0,Gates,William,The World's Billionaires,,,,,,,,,,,,,,,,,
3,Billionaires,2008,3,lakshmi-mittal,"Heads world's largest steelmaker, $105 billion (sales) ArcelorMittal, which accounts for 10% of all crude steel production. Just delivered 580 tons to be used in construction of the World Trade Center memorial in New York. With 44% stake, is the company's largest shareholder. Longtime inhabitant of London is Europe's richest resident. Mittal began his career working in his family's steelmaking business in India.",4,billionaires,45000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'name': 'Lakshmi Mittal', 'uri': 'lakshmi-mittal', 'squareImage': 'https://specials-images.forbesimg.com/imageserve/6345b68ac253491e1cb3f62c/416x416.jpg?background=000000&cropX1=492&cropX2=1966&cropY1=36&cropY2=1509'}",True,Lakshmi Mittal,57.0,United Kingdom,,London,,['Manufacturing'],India,1309538171737,1309538203278,0.0,faris/5/2008/4861,4,http://onforb.es/1IR6Yer,http://onforb.es/1zwsxeJ,http://onforb.es/1IR71XC,1204347600000,False,False,http://specials-images.forbesimg.com/imageserve/6345b68ac253491e1cb3f62c/280x425.jpg?fit=scale&background=000000,https://specials-images.forbesimg.com/imageserve/6345b68ac253491e1cb3f62c/416x416.jpg?background=000000&cropX1=492&cropX2=1966&cropY1=36&cropY2=1509,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Billionaires,2008,3,mukesh-ambani,"Asia's richest resident heads petrochemicals giant Reliance Industries, India's most valuable company by market cap. His fortune is up $22.9 billion since last year, making him the world's second biggest gainer in terms of dollars. The biggest gainer was his estranged brother Anil, who ranks 6th in the world just behind his older brother. The sons inherited their fortune from their late father, renowned industrialist Dhirubhai Ambani.  But they couldn't get along and in 2005 their mother brokered a peace settlement breaking up the family's assets. Mukesh is using some of his money to build a 27-story home.",5,billionaires,43000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'name': 'Mukesh Ambani', 'uri': 'mukesh-ambani', 'squareImage': '//specials-images.forbesimg.com/imageserve/5c7d7829a7ea434b351ba0b6/416x416.jpg?background=000000&cropX1=206&cropX2=2043&cropY1=250&cropY2=2089'}",True,Mukesh Ambani,50.0,India,,Mumbai,,['Manufacturing'],India,1309538429263,1309538596504,0.0,faris/5/2008/7409,5,http://onforb.es/1IR6Yer,http://onforb.es/1zwssYx,http://onforb.es/1IR71XC,1204347600000,False,False,http://specials-images.forbesimg.com/imageserve/5c7d7829a7ea434b351ba0b6/280x425.jpg?fit=scale&background=000000,//specials-images.forbesimg.com/imageserve/5c7d7829a7ea434b351ba0b6/416x416.jpg?background=000000&cropX1=206&cropX2=2043&cropY1=250&cropY2=2089,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Billionaires,2008,3,anil-ambani,"The year's biggest gainer, Ambani is up $23.8 billion in the past year, and is closing the gap with his estranged brother, Mukesh, who ranks one spot ahead of him in the world at number five. The sons inherited their fortune from their late father, renowned industrialist Dhirubhai Ambani.  But they couldn't get along and in 2005 their mother brokered a peace settlement breaking up the family's assets. A marathon runner, his biggest asset is his 65% stake in telecom venture Reliance Communications. He recently raised $3 billion from the highly anticipated initial offering of his Reliance Power, the biggest in India's history. Despite the hype, the stock tumbled 17% immediately after its February listing. In a bid to appease investors, company's board recently approved the issue of bonus shares. Still feuding with brother Mukesh: battling him in court over a gas-supply agreement.",6,billionaires,42000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'name': 'Anil Ambani', 'uri': 'anil-ambani', 'squareImage': '//specials-images.forbesimg.com/imageserve/5e875f83bf94c200067fca84/416x416.jpg?background=000000&cropX1=511&cropX2=1691&cropY1=51&cropY2=1232'}",True,Anil Ambani,48.0,India,,Mumbai,,,India,1309540378498,1309540411633,0.0,faris/5/2008/7824,6,http://onforb.es/1IR6Yer,http://onforb.es/1zwu3NW,http://onforb.es/1IR71XC,1204347600000,False,False,http://specials-images.forbesimg.com/imageserve/5e875f83bf94c200067fca84/280x425.jpg?fit=scale&background=000000,//specials-images.forbesimg.com/imageserve/5e875f83bf94c200067fca84/416x416.jpg?background=000000&cropX1=511&cropX2=1691&cropY1=51&cropY2=1232,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Billionaires,2008,3,ingvar-kamprad,"Peddled matches, fish, pens, Christmas cards and other items by bicycle as a
teenager. Started selling furniture in 1947. Now his company Ikea, which sells hip designs for the cost conscious, is one of the most beloved retailers in the world, with an almost cultlike following. Ikea now has stores in 40 countries, from Sunrise, Florida, to Guangzhou in China. As egalitarian as his brand, Kamprad avoids wearing suits, flies economy class and frequents cheap restaurants. Has been quoted as saying that his luxuries are the occasional nice cravat and Swedish fish roe. Says his home is furnished mostly with his own Ikea products. Last May was awarded the Global Economy Prize by the University of Kiel for his contributions to society.",7,billionaires,31000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'name': 'Ingvar Kamprad & family', 'uri': 'ingvar-kamprad'}",True,Ingvar Kamprad & family,81.0,Switzerland,,Lausanne,,['Retail'],Sweden,1309540609758,1309540656162,0.0,faris/5/2008/4516,7,http://onforb.es/1IR6Yer,http://onforb.es/1BOU2I2,http://onforb.es/1IR71XC,1204347600000,False,False,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Billionaires,2008,3,kushal-pal-singh,"Singh is now the world's richest real estate baron after listing his real estate development company DLF in 2007. The offering helped triple his fortune to $30 billion this year, up from $10 billion. A former army officer, known as K.P., he joined his father-in-law's Delhi Land &#38; Finance in 1961. Singh later built DLF City in Gurgaon, his showpiece township on the outskirts of Delhi, by acquiring land from farmers. Over time, he transformed it into one of India's biggest real estate developers. Group plans to raise another $1.5 billion by listing a subsidiary in Singapore. A keen golfer, he now leaves son Rajiv, daughter Pia to run operations.",8,billionaires,30000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'name': 'Kushal Pal Singh', 'uri': 'kushal-pal-singh', 'squareImage': '//specials-images.forbesimg.com/imageserve/56ca6a42e4b062f6b59a3447/416x416.jpg?background=000000&cropX1=8&cropX2=744&cropY1=232&cropY2=968'}",True,Kushal Pal Singh,76.0,India,,Delhi,,['Real Estate'],India,1309539208390,1309539235530,0.0,faris/5/2008/7829,8,http://onforb.es/1IR6Yer,http://onforb.es/1BOU16N,http://onforb.es/1IR71XC,1204347600000,False,False,http://specials-images.forbesimg.com/imageserve/56ca6a42e4b062f6b59a3447/280x425.jpg?fit=scale&background=000000,//specials-images.forbesimg.com/imageserve/56ca6a42e4b062f6b59a3447/416x416.jpg?background=000000&cropX1=8&cropX2=744&cropY1=232&cropY2=968,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Billionaires,2008,3,oleg-deripaska,"Former metals trader survived the gangster wars in the post-Soviet aluminum industry. His holding company, Basic Element, now owns Russian Aluminum (UC Rusal), automobile manufacturer GAZ, aircraft manufacturer Aviacor and insurance company Ingosstrakh. In 2006 Rusal, SUAL and Glencore International, of Switzerland, merged their aluminum assets into the United Company Rusal,  the world's largest aluminum producer. Married to a relative of Yeltsin, Deripaska has been busy expanding UC Rusal's activities in Russia and abroad, moving it into aluminum production in Nigeria and China. To integrate vertically, has signed agreements to produce coal in Kazakhstan and invest in a nuclear power plant in eastern Russia. Attempting to get a stake in Norilsk Nickel, which co-owner (and fellow billionaire) Vladimir Potanin is fighting.",9,billionaires,28000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'name': 'Oleg Deripaska', 'uri': 'oleg-deripaska', 'squareImage': 'https://specials-images.forbesimg.com/imageserve/622915346fb19ba3632edc8a/416x416.jpg?background=000000&cropX1=589&cropX2=3252&cropY1=6&cropY2=2667'}",True,Oleg Deripaska,40.0,Russia,,Moscow,,,Russia,1309538673455,1309538704134,0.0,faris/5/2008/7267,9,http://onforb.es/1IR6Yer,http://onforb.es/1zwtdAM,http://onforb.es/1IR71XC,1204347600000,False,False,http://specials-images.forbesimg.com/imageserve/622915346fb19ba3632edc8a/280x425.jpg?fit=scale&background=000000,https://specials-images.forbesimg.com/imageserve/622915346fb19ba3632edc8a/416x416.jpg?background=000000&cropX1=589&cropX2=3252&cropY1=6&cropY2=2667,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Billionaires,2008,3,karl-albrecht,"Germany's richest man. After World War II Karl and his younger brother, Theo, developed their mother's corner grocery store into discount supermarket giant Aldi, which now has more than 8,000 stores and $67 billion in sales. They eventually split ownership and management of the chain into North and South regions. Now retired, Karl used to manage more profitable southern half of Aldi's business in Germany. Fiercely private: Little known about him other than that he apparently raises orchids and plays golf.",10,billionaires,27000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{'name': 'Karl Albrecht', 'uri': 'karl-albrecht', 'imageExists': False}",True,Karl Albrecht,88.0,Germany,,Mulheim an der Ruhr,,['Retail'],Germany,1309538319945,1309538403177,0.0,faris/5/2008/7450,10,http://onforb.es/1IR6Yer,http://onforb.es/1kMFbAp,http://onforb.es/1IR71XC,1204347600000,False,False,,,False,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,
