,name,year,month,uri,bio,rank,listUri,finalWorth,category,otherCompensation,countryRank,person,visible,personName,age,country,state,city,source,industries,countryOfCitizenship,organization,timestamp,version,moneyRank,tvRadioRank,pressRank,webRank,socialRank,naturalId,position,imageExists,change,changePercent,selfMade,status,gender,birthDate,countryId,lastName,firstName,listDescription,title,employment,shortUri,galleryShortUri,listShortUri,date,wealthList,familyList,thumbnail,squareImage,bioSuppress,factivaHits,webHits,tvRadio,recentEarnings,recentSales,recentBudget,gdp,budget,assets,totalCompensation,salary,bonus,stockOptions,population,audienceWeb,audiencePrint,audienceTv,employees,following,previousRank,csfDisplayFields,suppressOnProfiles,portraitImage,landscapeImage,numberOfSiblings,numberOfSiblingsEst,premiumProfile,embargo,residenceStateRegion,residenceMsa
0,Billionaires,2009,3,bill-gates,"Software visionary regains title as the world's richest man despite losing $18 billion in the past 12 months. Stepped down from day-to-day duties at Microsoft last summer to devote his talents and riches to the Bill &#38; Melinda Gates Foundation. Organization's assets were $30 billion in January; annual letter lauds endowment manager Michael Larson for limiting last year's losses to 20%. Gates decided to increase donations in 2009 to $3.8 billion, up 15% from 2008. Dedicated to fighting hunger in developing countries, improving education in America's high schools and developing vaccines against malaria, tuberculosis and AIDS. Appointed Microsoft Office veteran Jeffrey Raikes chief exec of Gates Foundation in September. Gates remains Microsoft chairman. Sells shares each quarter, redeploys proceeds via investment vehicle Cascade; more than half of fortune invested outside Microsoft. Stock down 45% in past 12 months. ""Creative capitalist"" wants companies to match profitmaking with doing good.",1,billionaires,40000.0,Technology,0.0,1.0,"{'name': 'Bill Gates', 'uri': 'bill-gates', 'imageExists': True, 'squareImage': 'https://specials-images.forbesimg.com/imageserve/62d599ede3ff49f348f9b9b4/416x416.jpg?background=000000&cropX1=155&cropX2=976&cropY1=340&cropY2=1161'}",True,Bill Gates,53.0,United States,Washington,Medina,,['Technology                    '],United States,Bill & Melinda Gates Foundation,1347995485890,1347995546820,0.0,0.0,0.0,0.0,0.0,faris/5/2009/5772,1,True,-18000.0,-31.034482758620683,False,D,M,-447451200000.0,225.0,Gates,William,The World's Billionaires,Co-Chair,"{'name': 'Bill &#38; Melinda Gates Foundation', 'title': 'Co-Chair', 'totalEarningEst': False, 'salaryEst': False, 'government': False}",http://onforb.es/1IR6Yer,http://onforb.es/1zwslMH,http://onforb.es/1IR71XC,1235883600000,False,False,http://specials-images.forbesimg.com/imageserve/62d599ede3ff49f348f9b9b4/280x425.jpg?fit=scale&background=000000,https://specials-images.forbesimg.com/imageserve/62d599ede3ff49f348f9b9b4/416x416.jpg?background=000000&cropX1=155&cropX2=976&cropY1=340&cropY2=1161,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Billionaires,2009,3,warren-buffett,"Last year America's most beloved investor was the world's richest man. This year he has to settle for second place after losing $25 billion in 12 months. Shares of Berkshire Hathaway down 45% since last March. Injected billions of dollars into Goldman Sachs, GE in exchange for preferred stock last fall; propped up insurance firm Swiss Re in February with $2.6 billion infusion. Admits he made some ""dumb"" investment mistakes in 2008. Upbeat about America's future: ""Our economic system has worked extraordinarily well over time. It has unleashed human potential as no other system has, and it will continue to do so."" Scoffs at Wall Street's over-reliance on ""history-based"" models: ""If merely looking up past financial data would tell you what the future holds, the Forbes 400 would consist of librarians."" Son of Nebraska politician delivered newspapers as a boy. Filed first tax return at age 13, claiming $35 deduction for bicycle. Studied under value investing guru Benjamin Graham at Columbia. Took over textile firm Berkshire Hathaway 1965. Today holding company invested in insurance (Geico, General Re), jewelry (Borsheim's), utilities (MidAmerican Energy), food (Dairy Queen, See's Candies). Also has noncontrolling stakes in Anheuser-Busch, Coca-Cola, Wells Fargo.",2,billionaires,37000.0,Investments,0.0,2.0,"{'name': 'Warren Buffett', 'uri': 'warren-buffett', 'imageExists': True, 'squareImage': '//specials-images.forbesimg.com/imageserve/5babb7f1a7ea4342a948b79a/416x416.jpg?background=000000&cropX1=748&cropX2=3075&cropY1=1753&cropY2=4082'}",True,Warren Buffett,78.0,United States,Nebraska,Omaha,,['Investments                   '],United States,Berkshire Hathaway,1347995807312,1347995863483,0.0,0.0,0.0,0.0,0.0,faris/5/2009/5381,2,True,-25000.0,-40.32258064516129,False,D,M,-1241467200000.0,225.0,Buffett,Warren,The World's Billionaires,Chairman,"{'name': 'Berkshire Hathaway', 'uri': 'companies/berkshire-hathaway', 'title': 'Chairman', 'totalEarningEst': False, 'salaryEst': False, 'government': False}",http://onforb.es/1IR6Yer,http://onforb.es/1zwsorO,http://onforb.es/1IR71XC,1235883600000,False,False,http://specials-images.forbesimg.com/imageserve/5babb7f1a7ea4342a948b79a/280x425.jpg?fit=scale&background=000000,//specials-images.forbesimg.com/imageserve/5babb7f1a7ea4342a948b79a/416x416.jpg?background=000000&cropX1=748&cropX2=3075&cropY1=1753&cropY2=4082,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Billionaires,2009,3,carlos-slim-helu,"Economic downturn and plunging peso shaved $25 billion from the fortune of Latin America's richest man. Global recession testing his ability to live up to the principles he sets for his employees: ""Maintain austerity in times of fat cows."" Son of a Lebanese immigrant bought fixed line operator Telefonos de Mexico (Telmex) in 1990; now controls 90% of Mexico's telephone landlines.  Would be a billionaire based on his dividends alone. Biggest holding: $16 billion stake in America Movil, Latin America's largest mobile phone company with 173 million customers. America Movil and Telmex reportedly planning to jointly invest $4 billion to bolster telecom infrastructure in Latin America. Buying up cheap media, energy and retail assets. Last year took stakes in New York Times Co., former billionaire Anthony O'Reilly's Independent News &#38; Media and Bronco Drilling; also increased position in Saks. Baseball statistics aficionado, art collector.",3,billionaires,35000.0,,,,"{'name': 'Carlos Slim Helu & family', 'uri': 'carlos-slim-helu', 'squareImage': '//specials-images.forbesimg.com/imageserve/5c76ba144bbe6f24ad99c613/416x416.jpg?background=000000&cropX1=0&cropX2=3005&cropY1=389&cropY2=3395'}",True,Carlos Slim Helu & family,69.0,Mexico,,Mexico City,,['Telecommunications'],Mexico,,1309538135960,1309538162905,,,,,0.0,faris/5/2009/4466,3,,,,,,,,,,,,,,http://onforb.es/1IR6Yer,http://onforb.es/1zwsjo9,http://onforb.es/1IR71XC,1235883600000,False,False,http://specials-images.forbesimg.com/imageserve/5c76ba144bbe6f24ad99c613/280x425.jpg?fit=scale&background=000000,//specials-images.forbesimg.com/imageserve/5c76ba144bbe6f24ad99c613/416x416.jpg?background=000000&cropX1=0&cropX2=3005&cropY1=389&cropY2=3395,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
3,Billionaires,2009,3,larry-ellison,"Database titan continues to engulf the competition; Oracle has racked up 49 acquisitions in the past 4 years. Bought BEA Systems for $8.5 billion last year. Still sitting on $7 billion in cash. Revenues up 11% to $10.9 billion in the six months ended November 30; profits also up 11% to $2.4 billion. Stock down 25% in past 12 months. Invested $125 million in Web software outfit Netsuite; took public in 2007, stock has fallen 80% since. His shares still worth $300 million. Chicago native studied physics at U. of Chicago, didn't graduate. Started Oracle in 1977. Public 1986, a day before Microsoft. Owns 453-foot Rising Sun; built a smaller leisure boat because superyacht is hard to park. Squabbling in court with Swiss boating billionaire Ernesto Bertarelli over terms of next America's Cup. Recently unveiled hulking 90-foot trimaran he intends to use to win it.",4,billionaires,22500.0,Technology,0.0,3.0,"{'name': 'Larry Ellison', 'uri': 'larry-ellison', 'imageExists': True, 'squareImage': '//specials-images.forbesimg.com/imageserve/5e8b62cfc095010007bffea0/416x416.jpg?background=000000&cropX1=0&cropX2=4529&cropY1=652&cropY2=5184'}",True,Larry Ellison,64.0,United States,California,Woodside,,['Technology                    '],United States,Oracle,1347995484968,1347995550179,0.0,0.0,0.0,0.0,0.0,faris/5/2009/5574,4,True,-2500.0,-10.0,False,D,M,-800740800000.0,225.0,Ellison,Lawrence,The World's Billionaires,CEO,"{'name': 'Oracle', 'uri': 'companies/oracle', 'title': 'CEO', 'totalEarningEst': False, 'salaryEst': False, 'government': False}",http://onforb.es/1IR6Yer,http://onforb.es/1zwskbB,http://onforb.es/1IR71XC,1235883600000,False,False,http://specials-images.forbesimg.com/imageserve/5e8b62cfc095010007bffea0/280x425.jpg?fit=scale&background=000000,//specials-images.forbesimg.com/imageserve/5e8b62cfc095010007bffea0/416x416.jpg?background=000000&cropX1=0&cropX2=4529&cropY1=652&cropY2=5184,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Billionaires,2009,3,ingvar-kamprad,"Peddled matches, fish, pens, Christmas cards and other items by bicycle as a teenager. Started selling furniture in 1947. Opened first Ikea store 50 years ago; stores's name is a combination of initials of his first and last name, his family farm and the nearest village. Retired in 1986; company's ""senior adviser"" still reportedly works tirelessly on his brand. Discount retailer now sells 9,500 items in 36 countries; prints catalog in 27 languages. Revenues up 7% to $27.4 billion in fiscal year 2008. Opened tenth store in China this February; planning to open first in Dominican Republic later this year. Three sons all work at the company. Thrifty entrepreneur flies economy class, frequents cheap restaurants and furnishes his home mostly with Ikea products.",5,billionaires,22000.0,,,,"{'name': 'Ingvar Kamprad & family', 'uri': 'ingvar-kamprad'}",True,Ingvar Kamprad & family,83.0,Switzerland,,Lausanne,,['Retail'],Sweden,,1309540607190,1309540656265,,,,,0.0,faris/5/2009/4516,5,,,,,,,,,,,,,,http://onforb.es/1IR6Yer,http://onforb.es/1BOU2I2,http://onforb.es/1IR71XC,1235883600000,False,False,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
5,Billionaires,2009,3,karl-albrecht,"Germany's richest person owns discount supermarket giant Aldi Sud. Retailer faring well amid economic downturn; analysts expect its 2008 sales to be up 9.4% to $33.7 billion. Sales in the U.S. up estimated 20% last year to $7 billion. Plans to open 75 U.S. stores in 2009, including first in New York City. With younger brother, Theo, transformed their mother's corner grocery store into Aldi after World War II. Brothers split ownership in 1961; Karl took the stores in southern Germany, plus the rights to the brand in the U.K., Australia and the U.S. Theo got northern Germany and the rest of Europe. Retired from daily operations. Fiercely private: little known about him other than that he apparently raises orchids and plays golf.",6,billionaires,21500.0,,,,"{'name': 'Karl Albrecht', 'uri': 'karl-albrecht', 'imageExists': False}",True,Karl Albrecht,89.0,Germany,,Mulheim an der Ruhr,,['Retail'],Germany,,1309538317792,1309538396145,,,,,0.0,faris/5/2009/7450,6,False,,,,,,,,,,,,,http://onforb.es/1IR6Yer,http://onforb.es/1kMFbAp,http://onforb.es/1IR71XC,1235883600000,False,False,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
6,Billionaires,2009,3,mukesh-ambani,"Oversees Reliance Industries, India's most valuable company by market cap despite stock falling 40% in past year. Merging his Reliance Petroleum with flagship Reliance Industries. As part of deal, will exercise right to buy back Chevron's 5% stake in Reliance Petroleum at $1.20 per share--the same price at which he sold it 3 years ago. Today the stock trades for $1.80 a share. Increased stake in Reliance Industries in October; paid $3.4 billion to convert 120 million preferential warrants into shares. Reliance Petroleum refinery on India's western coast began operating in December despite falling global demand and declining margins. Late father Dhirubhai founded Reliance and built it into a massive conglomerate. After he died Mukesh and his brother, Anil, ran the family business together for a brief time. But siblings feuded over control; mother eventually brokered split of assets. Brothers may be looking to bury hatchet; played joint hosts at mother's recent 75th-birthday bash. Has yet to move into his 27-story home that he's building at a reported cost of $1 billion. Ardent fan of Bollywood films. Wife, Nita, oversees school named after his father.",7,billionaires,19500.0,,,,"{'name': 'Mukesh Ambani', 'uri': 'mukesh-ambani', 'squareImage': '//specials-images.forbesimg.com/imageserve/5c7d7829a7ea434b351ba0b6/416x416.jpg?background=000000&cropX1=206&cropX2=2043&cropY1=250&cropY2=2089'}",True,Mukesh Ambani,51.0,India,,Mumbai,,['Manufacturing'],India,,1309538428669,1309538601301,,,,,0.0,faris/5/2009/7409,7,,,,,,,,,,,,,,http://onforb.es/1IR6Yer,http://onforb.es/1zwssYx,http://onforb.es/1IR71XC,1235883600000,False,False,http://specials-images.forbesimg.com/imageserve/5c7d7829a7ea434b351ba0b6/280x425.jpg?fit=scale&background=000000,//specials-images.forbesimg.com/imageserve/5c7d7829a7ea434b351ba0b6/416x416.jpg?background=000000&cropX1=206&cropX2=2043&cropY1=250&cropY2=2089,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
7,Billionaires,2009,3,lakshmi-mittal,"Indian immigrant heads world's largest steel company; ArcelorMittal was formed via hostile takeover 3 years ago. Stock in company makes up bulk of his fortune; shares at a 4-year low with steel prices down 75% since last summer. Company forced to pay heavy fines after a French antitrust investigation found 10 companies guilty of price-fixing in European steel markets. Arcelor posted $2.6 billion loss in most recent quarter; announced plans to slow acquisitions, cut capital expenditures, pay down debt. Started in family steel business in the 1970s, branched out on his own in 1994. Initially bought up steel mills on the cheap in Eastern Europe. Company bought 19.9% stake in Australia's Macarthur Coal last year. Also owns pieces of Mumbai's Indiabulls Group, London's RAB Capital; owns stake in, sits on board of Goldman Sachs. Holds substantial cash; owns 12-bedroom mansion in London's posh Kensington neighborhood.",8,billionaires,19300.0,,,,"{'name': 'Lakshmi Mittal', 'uri': 'lakshmi-mittal', 'squareImage': 'https://specials-images.forbesimg.com/imageserve/6345b68ac253491e1cb3f62c/416x416.jpg?background=000000&cropX1=492&cropX2=1966&cropY1=36&cropY2=1509'}",True,Lakshmi Mittal,58.0,United Kingdom,,London,,['Steel'],India,,1309538169043,1309538203060,,,,,0.0,faris/5/2009/4861,8,,,,,,,,,,,,,,http://onforb.es/1IR6Yer,http://onforb.es/1zwsxeJ,http://onforb.es/1IR71XC,1235883600000,False,False,http://specials-images.forbesimg.com/imageserve/6345b68ac253491e1cb3f62c/280x425.jpg?fit=scale&background=000000,https://specials-images.forbesimg.com/imageserve/6345b68ac253491e1cb3f62c/416x416.jpg?background=000000&cropX1=492&cropX2=1966&cropY1=36&cropY2=1509,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
8,Billionaires,2009,3,amancio-ortega,"Railway worker's son started as a gofer in a shirt store. With then-wife Rosalia Mera, also now a billionaire, started making dressing gowns and lingerie in their living room. Business became one of world's most successful apparel manufacturers. Today Inditex has more than 4,000 stores in 71 countries. Sales: $12.3 billion. Ortega is chairman. Company exported its cheap chic Zara stores to 4 new markets last year: Ukraine, South Korea, Montenegro and Honduras. Stock up 1% in past 12 months, but fortune down because of weak euro. Also has personal investments in gas, tourism, banks and real estate. Owns properties in Madrid, Paris, London, Lisbon, plus a luxury hotel and apartment complex in Miami, a horse-jumping circuit, and an interest in a soccer league. Shuns neckties and fanfare. Daughter Marta works for Inditex; recent speculation suggests she is being groomed to eventually replace her father.",10,billionaires,18300.0,,,,"{'name': 'Amancio Ortega', 'uri': 'amancio-ortega', 'squareImage': '//specials-images.forbesimg.com/imageserve/5c76b94131358e35dd27748e/416x416.jpg?background=000000&cropX1=179&cropX2=2232&cropY1=216&cropY2=2269'}",True,Amancio Ortega,73.0,Spain,,La Coruna,,['Retail'],Spain,,1309542999606,1309543020689,,,,,0.0,faris/5/2009/7034,10,,,,,,,,,,,,,,http://onforb.es/1IR6Yer,http://onforb.es/1zwskbq,http://onforb.es/1IR71XC,1235883600000,False,False,http://specials-images.forbesimg.com/imageserve/5c76b94131358e35dd27748e/280x425.jpg?fit=scale&background=000000,//specials-images.forbesimg.com/imageserve/5c76b94131358e35dd27748e/416x416.jpg?background=000000&cropX1=179&cropX2=2232&cropY1=216&cropY2=2269,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
9,Billionaires,2009,3,jim-walton,"Wal-Mart remains the exception to the rule in the crumbling retail sector thanks to its global footprint and deeply discounted prices. Also helping: the exodus of competitors like Circuit City and Linens N' Things. Shares down 25% since September. Fourth-quarter profit hurt by lawsuit settlements, poor currency exchange; still beat analyst expectations. Stake in solar-paneling outfit First Solar fared far worse; shares down 60% since August after surging 120% in previous 12 months. Sam Walton started as J.C. Penney clerk in 1940; opened Newport, Ark. five-and-dime store Benjamin Franklin 5 years later. Lost lease in 1950. With brother James started general-store chain in Bentonville, Ark., 1962. Today Wal-Mart is world's largest retailer: 7,200 stores, 2 million employees serve 200 million customers. Sales: $378 billion. Jim chairs Arvest Bank Group, Community Publishers.",11,billionaires,17800.0,Fashion and Retail,0.0,4.0,"{'name': 'Jim Walton', 'uri': 'jim-walton', 'imageExists': True, 'squareImage': '//specials-images.forbesimg.com/imageserve/5c7ef2fea7ea434b351bca5a/416x416.jpg?background=000000&cropX1=49&cropX2=934&cropY1=65&cropY2=951'}",True,Jim Walton,61.0,United States,Arkansas,Bentonville,,['Fashion and Retail            '],United States,"Arvest Bank Group, Inc.",1347995888890,1347995948706,0.0,0.0,0.0,0.0,0.0,faris/5/2009/5720,11,True,-1400.0,-7.291666666666657,False,D,M,-694292400000.0,225.0,Walton,Jim,The World's Billionaires,Chairman and CEO,"{'name': 'Arvest Bank Group, Inc.', 'title': 'Chairman and CEO', 'totalEarningEst': False, 'salaryEst': False, 'government': False}",http://onforb.es/1IR6Yer,http://onforb.es/1zwsnnU,http://onforb.es/1IR71XC,1235883600000,False,False,http://specials-images.forbesimg.com/imageserve/5c7ef2fea7ea434b351bca5a/280x425.jpg?fit=scale&background=000000,//specials-images.forbesimg.com/imageserve/5c7ef2fea7ea434b351bca5a/416x416.jpg?background=000000&cropX1=49&cropX2=934&cropY1=65&cropY2=951,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
