,name,year,month,uri,bio,rank,listUri,finalWorth,otherCompensation,countryRank,person,visible,personName,age,country,state,city,source,industries,countryOfCitizenship,timestamp,version,moneyRank,tvRadioRank,pressRank,webRank,socialRank,naturalId,position,imageExists,change,changePercent,selfMade,status,gender,birthDate,countryId,lastName,firstName,listDescription,shortUri,galleryShortUri,listShortUri,date,wealthList,familyList,thumbnail,squareImage,bioSuppress,factivaHits,webHits,tvRadio,recentEarnings,recentSales,recentBudget,gdp,budget,assets,totalCompensation,salary,bonus,stockOptions,population,audienceWeb,audiencePrint,audienceTv,employees,following,category,title,previousRank,csfDisplayFields,suppressOnProfiles,organization,employment,residenceStateRegion,residenceMsa,premiumProfile,portraitImage,landscapeImage
0,Billionaires,2006,3,bill-gates,"Microsoft&#8217;s chief visionary moving further away from day-to-day corporate work. For the first time did not offer a strategy outlook at last year&#8217;s financial analyst meeting. Instead, prefers to dive into innovative projects, foster collaboration among Microsoft&#8217;s many divisions. Microsoft aims to be omnipotent, selling software for PCs, servers, cell phones, television set-top boxes, gaming consoles, the Web. At the ripe (tech sector) age of 30, Gates&#8217; company impressively beats rivals in profit margins, market capitalization and R&#38;D budget, but its sales growth is slowing to a (recently) single-digit percentage pace. Like elder statesman of computing, IBM, has been investing heavily in its own stock. Diversifies methodically, selling 20 million shares every quarter, reinvesting through Cascade Investment. Big stakes in Canadian National Railway, Republic Services, Berkshire Hathaway. Philanthropy, via $29 billion Bill &#38; Melinda Gates Foundation, aimed at fighting infectious disease (hepatitis B, AIDS, malaria) and improving high schools.",1,billionaires,50000.0,0.0,1.0,"{'name': 'Bill Gates', 'uri': 'bill-gates', 'imageExists': True, 'squareImage': 'https://specials-images.forbesimg.com/imageserve/62d599ede3ff49f348f9b9b4/416x416.jpg?background=000000&cropX1=155&cropX2=976&cropY1=340&cropY2=1161'}",True,Bill Gates,50,United States,Washington,Medina,,['Technology'],United States,1337117033406,1337117108274,0.0,0.0,0.0,0.0,0.0,faris/5/2006/5772,1,True,3500.0,7.526881720430097,False,U,M,-447451200000.0,225.0,Gates,William,The World's Billionaires,http://onforb.es/1IR6Yer,http://onforb.es/1zwslMH,http://onforb.es/1IR71XC,1141189200000,False,False,http://specials-images.forbesimg.com/imageserve/62d599ede3ff49f348f9b9b4/280x425.jpg?fit=scale&background=000000,https://specials-images.forbesimg.com/imageserve/62d599ede3ff49f348f9b9b4/416x416.jpg?background=000000&cropX1=155&cropX2=976&cropY1=340&cropY2=1161,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Billionaires,2006,3,warren-buffett,"Revered investor took it on the chin over Berkshire Hathaway&#8217;s General Re insurance unit; SEC threatened civil fraud suit against General Re Chief Joseph Brandon over questionable transaction with American International Group. Also got it for his board seat at Coca-Cola, where his &#8220;independence&#8221; might be compromised by Berkshire&#8217;s ownership of Dairy Queen, which buys lots of Coke products. Buffett: &#8220;Do they want us to favor Pepsi?&#8221; At Berkshire set in place two governance reforms: regular meetings of directors without Buffett present; whistleblower line for employees. Sitting on $43 billion in cash, hoped to make some big acquisitions last year, &#8220;but I struck out.&#8221; Instead, invested in foreign currencies: $21 billion bet against the dollar and in favor of various other currencies. &#8220;In no way does our thinking about currencies rest on doubts about America.&#8221; Newspaper delivery boy filed first 1040 at age 13; claimed $35 deduction for bicycle. Studied under Benjamin Graham at Columbia. Applied value-investing principles to build Berkshire Hathaway. Portfolio includes utilities (MidAmerican Energy Holdings), insurance (Geico, General Re), apparel (Fruit of the Loom), flight services (FlightSafety, NetJets). Also chunks of American Express, Coca-Cola, Gillette, Wells Fargo. Instructs managers to run a business as if it&#8217;s the only asset the manager&#8217;s family will own over the next 100 years. Prefers his investors to buy equities only after careful analysis. &#8220;If they insist on trying to time their participation in equities, they should try to be fearful when others are greedy and greedy only when others are fearful.&#8221; Says he underestimated the severity of certain stocks&#8217; overvaluation during the tech bubble. &#8220;I talked when I should have walked.&#8221; No matter. Since taking control of Berkshire 40 years ago, has delivered compound annual return of 22%. &#8220;No wonder we tap-dance to work.&#8221;",2,billionaires,42000.0,,,"{'name': 'Warren Buffett', 'uri': 'warren-buffett', 'squareImage': '//specials-images.forbesimg.com/imageserve/5babb7f1a7ea4342a948b79a/416x416.jpg?background=000000&cropX1=748&cropX2=3075&cropY1=1753&cropY2=4082'}",True,Warren Buffett,75,United States,Nebraska,Omaha,,['Investments'],United States,1309538150558,1309538202264,,,,,0.0,faris/5/2006/5381,2,,,,,,,,,,,,http://onforb.es/1IR6Yer,http://onforb.es/1zwsorO,http://onforb.es/1IR71XC,1141189200000,False,False,http://specials-images.forbesimg.com/imageserve/5babb7f1a7ea4342a948b79a/280x425.jpg?fit=scale&background=000000,//specials-images.forbesimg.com/imageserve/5babb7f1a7ea4342a948b79a/416x416.jpg?background=000000&cropX1=748&cropX2=3075&cropY1=1753&cropY2=4082,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
2,Billionaires,2006,3,carlos-slim-helu,"Latin America's richest man added more than $6 billion to his fortune this year. He sold off his stakes in MCI and Altria and used the proceeds to up his holding in Saks Inc; in his fixed line operator, Telmex; and in America Movil, his flagship wireless telecom outfit. The latest was a particularly smart move as America Movil's stock has almost doubled in the past year. He also owns 71% of a new public company, Impulsora del Desarollo Economico de America Latina, which he spun off from financial services giant Grupo Financiero Inbursa. Inbursa also invested in a start-up budget airline called Volaris. An art collector, Slim houses his Rodin sculptures in Mexico City's Museo Soumaya, the museum he funded and named after his late wife. His Grupo Carso is reportedly a combination of his first name and his late wife's.",3,billionaires,30000.0,,,"{'name': 'Carlos Slim Helu & family', 'uri': 'carlos-slim-helu', 'squareImage': '//specials-images.forbesimg.com/imageserve/5c76ba144bbe6f24ad99c613/416x416.jpg?background=000000&cropX1=0&cropX2=3005&cropY1=389&cropY2=3395'}",True,Carlos Slim Helu & family,66,Mexico,,Mexico City,,,Mexico,1309538142075,1309538162736,,,,,0.0,faris/5/2006/4466,3,,,,,,,,,,,,http://onforb.es/1IR6Yer,http://onforb.es/1zwsjo9,http://onforb.es/1IR71XC,1141189200000,False,False,http://specials-images.forbesimg.com/imageserve/5c76ba144bbe6f24ad99c613/280x425.jpg?fit=scale&background=000000,//specials-images.forbesimg.com/imageserve/5c76ba144bbe6f24ad99c613/416x416.jpg?background=000000&cropX1=0&cropX2=3005&cropY1=389&cropY2=3395,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
3,Billionaires,2006,3,ingvar-kamprad,"Peddled matches, fish, pens, Christmas cards and other items by bicycle as a teenager. Started selling furniture in 1947. Now his company Ikea, which sells hip designs for the cost conscious, is one of the most beloved retailers in the world, with an almost cultlike following. Ikea, which has stores in 33 countries, continues to expand into new markets such as Guangzhou, China and Moscow. As egalitarian as his brand, Kamprad avoids wearing suits, flies economy class and frequents cheap restaurants. Has been quoted as saying that his luxuries are occasionally buying a nice cravat and eating Swedish fish roe",4,billionaires,28000.0,,,"{'name': 'Ingvar Kamprad & family', 'uri': 'ingvar-kamprad'}",True,Ingvar Kamprad & family,79,Switzerland,,Lausanne,,['Retail'],Sweden,1309540616298,1309540656303,,,,,0.0,faris/5/2006/4516,4,,,,,,,,,,,,http://onforb.es/1IR6Yer,http://onforb.es/1BOU2I2,http://onforb.es/1IR71XC,1141189200000,False,False,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
4,Billionaires,2006,3,lakshmi-mittal,"The steel titan now oversees the world's largest steel company, Mittal Steel. In December 2004 he merged his Ispat International with Ohio-based International Steel Group in a $4 billion (in cash and stock) deal. Owns 87.4% of the $28.1  billion (2005 sales) company. An early year double-digit drop in US and European steel prices and fourth-quarter increased spending on coal and iron ore and lower prices helped lead to a 28% drop in 2005 profits to $3.4 billion. On Jan 27, Mittal made a $23.7 billion hostile bid for largest rival, Luxembourg-based Arcelor, in an effort to spark more world steel consolidation and enable Mittal Steel to sell higher grade steel to company's like Ford Motor. Arcelor employing numerous techniques to either fend it off or get a higher price: bought a large stake in a Chinese steel company; enlisted the French government to take up its cause; Luxembourg (the biggest shareholder) introduced a new takeover law; and Arcelor doubled its dividend.",5,billionaires,23500.0,,,"{'name': 'Lakshmi Mittal', 'uri': 'lakshmi-mittal', 'squareImage': 'https://specials-images.forbesimg.com/imageserve/6345b68ac253491e1cb3f62c/416x416.jpg?background=000000&cropX1=492&cropX2=1966&cropY1=36&cropY2=1509'}",True,Lakshmi Mittal,55,United Kingdom,,London,,['Manufacturing'],India,1309538177706,1309538203587,,,,,0.0,faris/5/2006/4861,5,,,,,,,,,,,,http://onforb.es/1IR6Yer,http://onforb.es/1zwsxeJ,http://onforb.es/1IR71XC,1141189200000,False,False,http://specials-images.forbesimg.com/imageserve/6345b68ac253491e1cb3f62c/280x425.jpg?fit=scale&background=000000,https://specials-images.forbesimg.com/imageserve/6345b68ac253491e1cb3f62c/416x416.jpg?background=000000&cropX1=492&cropX2=1966&cropY1=36&cropY2=1509,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
5,Billionaires,2006,3,paul-allen,"Microsoft cofounder, &#8220;wired world&#8221; proponent lately finding more promise in pipes delivering oil instead of information. Bought energy outfit Plains Resources for $460 million, controlling stake in Plains All American Pipeline, operator of 15,000 miles of oil pipelines. Through Vulcan Energy unit, paid $250 million for natural gas storage business from Sempra Energy. Hasn&#8217;t given up entirely on the future. Still maintains dozens of investments in media (Charter Communications), technology (set-top box manufacturer Digeo), biotech. Ten-year-old investment in wannabe Hollywood studio DreamWorks finally showing some returns after company took its animation unit public but planned secondary offering of mostly Allen shares postponed for now. Owner of pro football&#8217;s Seattle Seahawks took team to its first Super Bowl in February, lost to the Pittsburgh Steelers. Other pursuits in space (funded SpaceShipOne, first to launch private flight into suborbital space), the open seas (413-foot yacht Octopus armed with 2 helicopters and a 60-foot submarine). His Paul G. Allen Family Foundation has donated heavily to education, art and science causes. Joined buddy Bill Gates in 1975, left the company in 1983 to fight Hodgkin&#8217;s disease. Has been slowly selling off Microsoft stake ever since.",6,billionaires,22000.0,0.0,3.0,"{'name': 'Paul Allen', 'uri': 'paul-allen', 'imageExists': True, 'squareImage': 'http://specials-images.forbesimg.com/imageserve/57f4fbeb4bbe6f75c4fda22d/416x416.jpg?background=000000&cropX1=82&cropX2=675&cropY1=8&cropY2=601'}",True,Paul Allen,53,United States,Washington,Mercer Island,,['Technology'],United States,1337117307015,1337117369260,0.0,0.0,0.0,0.0,0.0,faris/5/2006/5729,6,True,1000.0,4.761904761904773,False,U,M,-534711600000.0,225.0,Allen,Paul,The World's Billionaires,http://onforb.es/1IR6Yer,http://onforb.es/1zwswYd,http://onforb.es/1IR71XC,1141189200000,False,False,http://specials-images.forbesimg.com/imageserve/57f4fbeb4bbe6f75c4fda22d/280x425.jpg?fit=scale&background=000000,http://specials-images.forbesimg.com/imageserve/57f4fbeb4bbe6f75c4fda22d/416x416.jpg?background=000000&cropX1=82&cropX2=675&cropY1=8&cropY2=601,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Billionaires,2006,3,bernard-arnault,"A year of celebration for the &#8220;Pope of fashion.&#8221;  His high-end luxury goods empire LVMH, with brands including Louis Vuitton, Fendi, Christian Dior and Mo&#235;t &#38; Chandon, posted record sales of  $16.6 billion. Stock is up 35% in the past 12 months, also boosting Arnault&#39s fortune, which is almost entirely made up of his LVMH stake. On personal front: his eldest child and LVMH board member, Delphine, 30, got married this fall near Bordeaux. Arnault oversaw all the details of the weekend-long festivities and supposedly captured a lot of the events himself with his digital and video cameras.",7,billionaires,21500.0,,,"{'name': 'Bernard Arnault', 'uri': 'bernard-arnault', 'squareImage': '//specials-images.forbesimg.com/imageserve/5dc05518ca425400079c659f/416x416.jpg?background=000000&cropX1=0&cropX2=4000&cropY1=1209&cropY2=5212'}",True,Bernard Arnault,57,France,,Paris,,,France,1309538231990,1309538263408,,,,,0.0,faris/5/2006/4800,7,,,,,,,,,,,,http://onforb.es/1IR6Yer,http://onforb.es/1zwslMx,http://onforb.es/1IR71XC,1141189200000,False,False,http://specials-images.forbesimg.com/imageserve/5dc05518ca425400079c659f/280x425.jpg?fit=scale&background=000000,//specials-images.forbesimg.com/imageserve/5dc05518ca425400079c659f/416x416.jpg?background=000000&cropX1=0&cropX2=4000&cropY1=1209&cropY2=5212,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
7,Billionaires,2006,3,prince-alwaleed-bin-talal-alsaud,"This nephew of the Saudi king is one of the world&#8217;s wealthiest investors,
with a big stake in Citigroup. Received much publicity&#8211;some of it
negative&#8211;in December 2005 for the $20 million gifts he made to Harvard and
Georgetown to expand their Islamic studies departments. In January 2006,
with a partner, announced a $3.9 billion deal to buy Fairmont Hotel &#38;
Resorts. In February listed his hotel holdings on the Dubai stock exchange.
Planning to take his main investment group, Kingdom Holdings, public on the
Saudi exchange later this year.",8,billionaires,20000.0,,,"{'name': 'Prince Alwaleed Bin Talal Alsaud', 'uri': 'prince-alwaleed-bin-talal-alsaud', 'squareImage': '//specials-images.forbesimg.com/imageserve/5e779508d8e1ae0007b72f3e/416x416.jpg?background=000000&cropX1=950&cropX2=4271&cropY1=14&cropY2=3334'}",True,Prince Alwaleed Bin Talal Alsaud,49,Saudi Arabia,,Riyadh,,['Investments'],Saudi Arabia,1309539699579,1309539731031,,,,,0.0,faris/5/2006/4268,8,,,,,,,,,,,,http://onforb.es/1IR6Yer,http://onforb.es/1rodoJU,http://onforb.es/1IR71XC,1141189200000,False,False,http://specials-images.forbesimg.com/imageserve/5e779508d8e1ae0007b72f3e/280x425.jpg?fit=scale&background=000000,//specials-images.forbesimg.com/imageserve/5e779508d8e1ae0007b72f3e/416x416.jpg?background=000000&cropX1=950&cropX2=4271&cropY1=14&cropY2=3334,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
8,Billionaires,2006,3,li-ka-shing,"Asia's richest and most influential investor's fortune is centered on conglomerates Cheung Kong and Hutchison Whampoa. Real estate developer, cell phone provider, retailer, major supplier of electricity to Hong Kong and the world's largest operator of container terminals. In June donated $180 million to University of Hong Kong; $40 million to University of California, Berkeley. Son Victor helps father run his massive empire, son Richard struck out on own in early 1990s.",10,billionaires,18800.0,,,"{'name': 'Ka-shing Li', 'uri': 'li-ka-shing', 'squareImage': 'https://specials-images.forbesimg.com/imageserve/60351d9a688e1407617b2595/416x416.jpg?background=000000&cropX1=1341&cropX2=2035&cropY1=411&cropY2=1105'}",True,Ka-shing Li,77,Hong Kong,,Hong Kong,,,Hong Kong,1309538376421,1309538487079,,,,,0.0,faris/5/2006/4812,10,,,,,,,,,,,,http://onforb.es/1IR6Yer,http://onforb.es/1zwsqzV,http://onforb.es/1IR71XC,1141189200000,False,False,http://specials-images.forbesimg.com/imageserve/60351d9a688e1407617b2595/280x425.jpg?fit=scale&background=000000,https://specials-images.forbesimg.com/imageserve/60351d9a688e1407617b2595/416x416.jpg?background=000000&cropX1=1341&cropX2=2035&cropY1=411&cropY2=1105,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
9,Billionaires,2006,3,roman-abramovich,"Orphaned as a child, Abramovich dropped out of college, then made a fortune in a series of controversial oil-export deals in the early 1990s. His fortune took off in 1995 when he teamed up with Boris Berezovsky to take over oil giant Sibneft at a fraction of its market value. (When Berezovsky fled Russia in 2000 to escape fraud charges, he sold out to Abramovich). In 2003 to 2004 sold his stake in Russian Aluminum to Oleg Deripaska. In Fall 2005 liquidated his biggest asset, selling his 72.6% stake in Sibneft to Gazprom for $13 billion. Now Abramovich, who last year was re-appointed governor of the distant northern region of Chukotka, can devote more time to his hobbies--mega yachts and soccer team Chelsea Football Club. Has also been investing in Moscow's commercial real estate market.",11,billionaires,18200.0,,,"{'name': 'Roman Abramovich', 'uri': 'roman-abramovich', 'squareImage': 'https://specials-images.forbesimg.com/imageserve/62291a5d0ec641a4c77a7528/416x416.jpg?background=000000&cropX1=615&cropX2=2814&cropY1=7&cropY2=2205'}",True,Roman Abramovich,39,United Kingdom,,London,,['Oil'],Russia,1309539233605,1309539260458,,,,,0.0,faris/5/2006/7126,11,,,,,,,,,,,,http://onforb.es/1IR6Yer,http://onforb.es/1BOTrWC,http://onforb.es/1IR71XC,1141189200000,False,False,http://specials-images.forbesimg.com/imageserve/62291a5d0ec641a4c77a7528/280x425.jpg?fit=scale&background=000000,https://specials-images.forbesimg.com/imageserve/62291a5d0ec641a4c77a7528/416x416.jpg?background=000000&cropX1=615&cropX2=2814&cropY1=7&cropY2=2205,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,
