,name,year,month,uri,bio,rank,listUri,finalWorth,otherCompensation,countryRank,person,visible,personName,age,country,city,source,industries,countryOfCitizenship,timestamp,version,moneyRank,tvRadioRank,pressRank,webRank,socialRank,naturalId,position,imageExists,change,changePercent,selfMade,status,gender,birthDate,countryId,lastName,firstName,listDescription,shortUri,galleryShortUri,listShortUri,date,wealthList,familyList,thumbnail,squareImage,bioSuppress,category,state,organization,title,employment,previousRank,csfDisplayFields,suppressOnProfiles,residenceStateRegion,numberOfSiblings,numberOfSiblingsEst,premiumProfile,embargo,residenceMsa,portraitImage,landscapeImage,investments,notableDeal,selfMadeRank
0,Billionaires,2012,3,carlos-slim-helu,"Carlos Slim Helu retains the title of world's richest man for the third year in a row despite a fortune that's $5 billion smaller than a year ago-primarily ­because of a lower share price for telecom giant America Movil, which accounts for more than half his net worth. In April the company was fined $1 billion by Mexican regulators for monopolistic practices, but is appealing the decision. Slim is spending more time working with his Carlos Slim Foundation and the Telmex Foundation than he has in the past. His goal: philanthropic work that develops human capacity.",1,billionaires,69000.0,0,1.0,"{'name': 'Carlos Slim Helu & family', 'uri': 'carlos-slim-helu', 'imageExists': True, 'squareImage': '//specials-images.forbesimg.com/imageserve/5c76ba144bbe6f24ad99c613/416x416.jpg?background=000000&cropX1=0&cropX2=3005&cropY1=389&cropY2=3395'}",True,Carlos Slim Helu & family,72.0,Mexico,Mexico City,telecom,['Telecom'],Mexico,1331597622500,1331597704846,0.0,0.0,0.0,0.0,0.0,faris/5/2012/4466,1,True,-5000.0,-6.756756756756758,True,D,M,-944420400000.0,224.0,Slim Helu,Carlos,The World's Billionaires,http://onforb.es/1IR6Yer,http://onforb.es/1zwsjo9,http://onforb.es/1IR71XC,1330578000000,False,False,http://specials-images.forbesimg.com/imageserve/5c76ba144bbe6f24ad99c613/280x425.jpg?fit=scale&background=000000,//specials-images.forbesimg.com/imageserve/5c76ba144bbe6f24ad99c613/416x416.jpg?background=000000&cropX1=0&cropX2=3005&cropY1=389&cropY2=3395,False,,,,,,,,,,,,,,,,,,,
1,Billionaires,2012,3,bill-gates,"First part of mission accomplished: Bill Gates, the most generous person on the planet (he's given away $28 billion already), has helped ­eradicate polio in India. In January the country announced its first polio-free year. Gates will continue to chip in $200 million a year to rid the world of a disease that is still endemic in Pakistan, Afghanistan and Nigeria. His Bill & Melinda Gates Foundation is also spearheading a malaria vaccine that is showing promise in ­clinical trials. Meanwhile the vaccine-spreading organization he founded, called GAVI, raised $4.3 billion in pledges aimed at distributing drugs to thwart the deadly infections that cause meningitis, pneumonia, and diarrhea in developing countries. He also has a new endeavor in the works: fixing agriculture. His foundation has committed more than $2 billion to small farmers. Less than one-fourth of his net worth is still held in Microsoft, whose shares are trading higher than they have been in 10 years; the rest is in private equity, bonds and stocks such as Ecolab and Mexican broadcaster Televisa.",2,billionaires,61000.0,0,1.0,"{'name': 'Bill Gates', 'uri': 'bill-gates', 'imageExists': True, 'squareImage': 'https://specials-images.forbesimg.com/imageserve/62d599ede3ff49f348f9b9b4/416x416.jpg?background=000000&cropX1=155&cropX2=976&cropY1=340&cropY2=1161'}",True,Bill Gates,56.0,United States,Medina,Microsoft,['Technology'],United States,1358269222390,1358269255771,0.0,0.0,0.0,0.0,0.0,faris/5/2012/5772,2,True,5000.0,8.928571428571416,True,U,M,-447451200000.0,225.0,Gates,Bill,The World's Billionaires,http://onforb.es/1IR6Yer,http://onforb.es/1zwslMH,http://onforb.es/1IR71XC,1330578000000,False,False,http://specials-images.forbesimg.com/imageserve/62d599ede3ff49f348f9b9b4/280x425.jpg?fit=scale&background=000000,https://specials-images.forbesimg.com/imageserve/62d599ede3ff49f348f9b9b4/416x416.jpg?background=000000&cropX1=155&cropX2=976&cropY1=340&cropY2=1161,False,Technology,Washington,Bill & Melinda Gates Foundation,Co-Chair,"{'name': 'Bill &#38; Melinda Gates Foundation', 'title': 'Co-Chair', 'totalEarningEst': False, 'salaryEst': False, 'government': False}",,,,,,,,,,,,,,
2,Billionaires,2012,3,warren-buffett,"Who will replace the Oracle of Omaha at the helm of Berkshire Hathaway? Warren Buffett announced in February he'd finally made the decision, but he wouldn't give a name. In December, he chose his farmer son, Howard, as the future non-executive chairman and ""guardian of the firm's values."" New Senate legislation requiring the rich to pay at least a 30% tax rate has been dubbed the ""Buffett Rule"" in homage to the billionaire's frequent public statements that the wealthiest should pay more than the average Joe. His net worth is down $6 billion year on year because of a 7% slump in Berkshire's stock. In his latest annual letter he confessed to some mistakes, including being ""dead wrong"" about a housing comeback. The son of Nebraska stockbroker met value investor Benjamin Graham while studying economics at Columbia. Buffett took over textile firm Berkshire Hathaway in 1965.",3,billionaires,44000.0,0,2.0,"{'name': 'Warren Buffett', 'uri': 'warren-buffett', 'imageExists': True, 'squareImage': '//specials-images.forbesimg.com/imageserve/5babb7f1a7ea4342a948b79a/416x416.jpg?background=000000&cropX1=748&cropX2=3075&cropY1=1753&cropY2=4082'}",True,Warren Buffett,81.0,United States,Omaha,Berkshire Hathaway,['Investments'],United States,1358269274875,1358269266391,0.0,0.0,0.0,0.0,0.0,faris/5/2012/5381,3,True,-6000.0,-12.0,True,D,M,-1241467200000.0,225.0,Buffett,Warren,The World's Billionaires,http://onforb.es/1IR6Yer,http://onforb.es/1zwsorO,http://onforb.es/1IR71XC,1330578000000,False,False,http://specials-images.forbesimg.com/imageserve/5babb7f1a7ea4342a948b79a/280x425.jpg?fit=scale&background=000000,//specials-images.forbesimg.com/imageserve/5babb7f1a7ea4342a948b79a/416x416.jpg?background=000000&cropX1=748&cropX2=3075&cropY1=1753&cropY2=4082,False,Investments,Nebraska,Berkshire Hathaway,CEO,"{'name': 'Berkshire Hathaway', 'uri': 'companies/berkshire-hathaway', 'title': 'CEO', 'totalEarningEst': False, 'salaryEst': False, 'government': False, 'revenue': 143688.0, 'revenueYear': 2011}",,,,,,,,,,,,,,
3,Billionaires,2012,3,bernard-arnault,"The world's ultimate arbiter of good taste and Europe's richest person once again, Arnault orchestrated another stellar year for his luxury-goods empire, LVMH. Profits jumped 22%, thanks to record sales at Louis Vuitton and the successful integration of Bulgari. The group formed a joint venture with one of the world's leading tanneries of crocodile leather, Heng Long. Arnault hasn't done as well with his more pedestrian investment in supermarket chain Carrefour, which is worth $1 billion less than it was a year ago. Among his personal high-end collection: He owns Indigo Island in the Bahamas (rent: $300,000 a week) and ski chalet Cheval Blanc in Courchevel.",4,billionaires,41000.0,0,1.0,"{'name': 'Bernard Arnault', 'uri': 'bernard-arnault', 'imageExists': True, 'squareImage': '//specials-images.forbesimg.com/imageserve/5dc05518ca425400079c659f/416x416.jpg?background=000000&cropX1=0&cropX2=4000&cropY1=1209&cropY2=5212'}",True,Bernard Arnault,63.0,France,Paris,LVMH,['Fashion and Retail'],France,1331243739250,1331243870540,0.0,0.0,0.0,0.0,0.0,faris/5/2012/4800,4,True,0.0,0.0,False,E,M,-657226800000.0,123.0,Arnault,Bernard,The World's Billionaires,http://onforb.es/1IR6Yer,http://onforb.es/1zwslMx,http://onforb.es/1IR71XC,1330578000000,False,False,http://specials-images.forbesimg.com/imageserve/5dc05518ca425400079c659f/280x425.jpg?fit=scale&background=000000,//specials-images.forbesimg.com/imageserve/5dc05518ca425400079c659f/416x416.jpg?background=000000&cropX1=0&cropX2=4000&cropY1=1209&cropY2=5212,False,,,,,,,,,,,,,,,,,,,
4,Billionaires,2012,3,amancio-ortega,"Ortega stepped down as chairman of his global fashion firm, Inditex, in July 2011. The company hasn't missed a beat. Shares are up one-fourth in the past year, helping boost his fortune by $6.5 billion and pushing him into the global top 5 ranks for the first time. Ortega paid $536 million to billionaire Esther Koplowitz in December for Torre Picasso, a 43-story skyscraper in Madrid. He also owns Epic Residences & Hotel, a luxury 54-story waterfront condo and hotel development in Miami. Other personal holdings include a stake in a soccer league and a horse-jumping circuit.  A railway worker's son, he started as a gofer in a shirt store. With then-wife Rosalia Mera, also a billionaire, he started making dressing gowns and lingerie in living room. His daughter Marta, who works for Inditex, married Spanish equestrian star Sergio Alvarez Moya in February.",5,billionaires,37500.0,0,1.0,"{'name': 'Amancio Ortega', 'uri': 'amancio-ortega', 'imageExists': True, 'squareImage': '//specials-images.forbesimg.com/imageserve/5c76b94131358e35dd27748e/416x416.jpg?background=000000&cropX1=179&cropX2=2232&cropY1=216&cropY2=2269'}",True,Amancio Ortega,75.0,Spain,La Coruna,Zara,['Fashion & Retail'],Spain,1491251132782,1331243873227,0.0,,0.0,,0.0,faris/5/2012/7034,5,True,6500.0,20.967741935483872,True,U,M,-1065466800000.0,200.0,Ortega,Amancio,The World's Billionaires,http://onforb.es/1IR6Yer,,http://onforb.es/1IR71XC,1331096400000,False,False,http://specials-images.forbesimg.com/imageserve/5c76b94131358e35dd27748e/280x425.jpg?fit=scale&background=000000,//specials-images.forbesimg.com/imageserve/5c76b94131358e35dd27748e/416x416.jpg?background=000000&cropX1=179&cropX2=2232&cropY1=216&cropY2=2269,False,Fashion & Retail,,,,,7.0,"['rank', 'finalWorth', 'personName', 'bios', 'bio']",False,,,,,,,,,,,
5,Billionaires,2012,3,larry-ellison,"Oracle's stock has been oscillating for months. It's rebounded since its August low but is still off 15% year on year due to a slowdown in the software and hardware giant's sales, enough to knock $3.5 billion off Ellison's fortune. Seeking to profit from cloud computing, Oracle acquired Taleo in February for $1.9 billion and RightNow in October for $1.5 billion. Ellison has been tagged as one of the clutch of billionaires interested in buying the Los Angeles Dodgers baseball team. His big sport is yachting: he won the America's Cup in 2010 and is bringing the 34th edition of the America's Cup Finals to the San Francisco Bay in 2013. This will be the first time the event has been held in the United States in 18 years.",6,billionaires,36000.0,0,3.0,"{'name': 'Larry Ellison', 'uri': 'larry-ellison', 'imageExists': True, 'squareImage': '//specials-images.forbesimg.com/imageserve/5e8b62cfc095010007bffea0/416x416.jpg?background=000000&cropX1=0&cropX2=4529&cropY1=652&cropY2=5184'}",True,Larry Ellison,67.0,United States,Woodside,Oracle,['Technology'],United States,1358269221000,1358269228171,0.0,0.0,0.0,0.0,0.0,faris/5/2012/5574,6,True,-3500.0,-8.860759493670884,True,D,M,-800740800000.0,225.0,Ellison,Larry,The World's Billionaires,http://onforb.es/1IR6Yer,http://onforb.es/1zwskbB,http://onforb.es/1IR71XC,1330578000000,False,False,http://specials-images.forbesimg.com/imageserve/5e8b62cfc095010007bffea0/280x425.jpg?fit=scale&background=000000,//specials-images.forbesimg.com/imageserve/5e8b62cfc095010007bffea0/416x416.jpg?background=000000&cropX1=0&cropX2=4529&cropY1=652&cropY2=5184,False,Technology,California,Oracle,CEO,"{'name': 'Oracle', 'uri': 'companies/oracle', 'title': 'CEO', 'totalEarningEst': False, 'salaryEst': False, 'government': False}",,,,,,,,,,,,,,
6,Billionaires,2012,3,eike-batista,"Eike Batista, Brazil's richest man, is riding high on oil fever. His oil and gas driller, OGX Petroleo e Gas, produced its first oil in a test well offshore in late January; his 61% stake in the company is worth $19.8 billion, two-thirds of his net worth. The bombastic entrepreneur is also betting on his former passion, gold: In February 2011 he spent $1.5 billion to take private Canadian-listed Ventana Gold, which owns what he says is an incredibly promising mine in Colombia. Batista vows to one day overtake Carlos Slim of Mexico as the world's richest man. He's got quite a ways to go to catch up.",7,billionaires,30000.0,0,1.0,"{'name': 'Eike Batista', 'uri': 'eike-batista', 'imageExists': True}",True,Eike Batista,55.0,Brazil,Rio de Janeiro,"mining, oil",['Energy'],Brazil,1331243733703,1331243859393,0.0,0.0,0.0,0.0,0.0,faris/5/2012/8850,7,True,0.0,0.0,True,E,M,-415306800000.0,140.0,Batista,Eike,The World's Billionaires,http://onforb.es/1IR6Yer,http://onforb.es/xzNwsa,http://onforb.es/1IR71XC,1330578000000,False,False,,,False,,,,,,,,,,,,,,,,,,,
7,Billionaires,2012,3,stefan-persson,"Stefan Persson's cheap-chic ­apparel chain H&M added Versace and Marni to its stable of designers last year and opened its first stores in Croatia, Singapore and Romania. It now has 2,500 shops in 43 countries. Persson, who is chairman, bought 5 million additional shares of the company and then gifted 4 million, worth $150 million, to a new employee ­incentive program.   Persson's father, Erling, founded H&M in 1947; Stefan took over in 1982, he gave up the chief executive position in 1998; promoted son, Karl-Johan, 35, to chief executive in July 2009. Persson acquired the 21-cottage village of Linkenholt in Hampshire, England in 2009. He is a founder of the Mentor Foundation, a nonprofit that combats substance abuse among youth. Persson enjoys downhill skiing, tennis and golf.",8,billionaires,26000.0,0,1.0,"{'name': 'Stefan Persson', 'uri': 'stefan-persson', 'imageExists': True, 'squareImage': 'https://specials-images.forbesimg.com/imageserve/5c721cd64bbe6f51818ab844/416x416.jpg?background=000000&cropX1=1176&cropX2=2731&cropY1=522&cropY2=2076'}",True,Stefan Persson,64.0,Sweden,Stockholm,H&M,['Fashion & Retail'],Sweden,1491251155772,1331243854496,0.0,,0.0,,0.0,faris/5/2012/4263,8,True,1500.0,6.122448979591837,False,U,M,-701982000000.0,201.0,Persson,Stefan,The World's Billionaires,http://onforb.es/1IR6Yer,,http://onforb.es/1IR71XC,1331096400000,False,False,http://specials-images.forbesimg.com/imageserve/5c721cd64bbe6f51818ab844/280x425.jpg?fit=scale&background=000000,https://specials-images.forbesimg.com/imageserve/5c721cd64bbe6f51818ab844/416x416.jpg?background=000000&cropX1=1176&cropX2=2731&cropY1=522&cropY2=2076,False,Fashion & Retail,,H&#38;M,Chairman,"{'name': 'H&#38;M', 'uri': 'companies/hm', 'title': 'Chairman', 'totalEarningEst': False, 'salaryEst': False, 'government': False}",13.0,"['rank', 'finalWorth', 'personName', 'bios', 'bio']",False,,,,,,,,,,,
8,Billionaires,2012,3,li-ka-shing,"Li Ka-shing moves back into the top 10 for the first time since 2007. He is Asia's richest person for the first time since 2004, despite a $500 million drop in net worth. One of the great empire builders, Li's businesses employ 270,000 ­people around the world in 53 countries; he built one out of every 7 residences in Hong Kong, his ­Hutchison Port ­Holdings handles about 13% of the world's container traffic, and his recently acquired Northumbrian Water supplies clean drinking water to 4.5 million people in England and sewerage services to ­another 2.7 million. Li also has personal investments in  tech startups like Facebook and Spotify. Says the octogenarian: ""A person investing in technology will feel younger."" One of Asia's most generous individuals, his foundation has donated more than $1.6 billion to date, mostly to educational organizations and medical research.  Li quit school at age 12 to help support his family. A decade later he started his own business making toys and, later, plastic flowers.",9,billionaires,25500.0,0,1.0,"{'name': 'Li Ka-shing', 'uri': 'li-ka-shing', 'imageExists': True, 'squareImage': 'https://specials-images.forbesimg.com/imageserve/60351d9a688e1407617b2595/416x416.jpg?background=000000&cropX1=1341&cropX2=2035&cropY1=411&cropY2=1105'}",True,Li Ka-shing,83.0,Hong Kong,Hong Kong,diversified,['Diversified'],Hong Kong,1360785595984,1360785638179,0.0,0.0,0.0,0.0,0.0,faris/5/2012/4812,9,True,-500.0,-1.923076923076934,True,D,M,-1311278400000.0,227.0,Li,Ka-shing,The World's Billionaires,http://onforb.es/1IR6Yer,http://onforb.es/1zwsqzV,http://onforb.es/1IR71XC,1330578000000,False,False,http://specials-images.forbesimg.com/imageserve/60351d9a688e1407617b2595/280x425.jpg?fit=scale&background=000000,https://specials-images.forbesimg.com/imageserve/60351d9a688e1407617b2595/416x416.jpg?background=000000&cropX1=1341&cropX2=2035&cropY1=411&cropY2=1105,False,Diversified,,Hutchison Whampoa,Chairman,"{'name': 'Hutchison Whampoa', 'uri': 'companies/hutchison-whampoa', 'title': 'Chairman', 'totalEarningEst': False, 'salaryEst': False, 'government': False, 'revenue': 30090.0, 'revenueYear': 2011}",,,,,,,,,,,,,,
9,Billionaires,2012,3,karl-albrecht,"Karl Albrecht's $39 billion (estimated sales) discount supermarket giant, Aldi Sud, has some 4,500 stores, including 1,200 across 32 U.S. states. It opened its first New York City locations in 2011, one in Queens and another in the Bronx. To keep costs low, Aldi stores do not accept credit cards. He and his late brother Theo got their start at their mother's corner grocery store after World War II and turned it into a large retail chain based on low prices in a no-frills setting. They split ownership in 1961; Karl took the more profitable stores in southern Germany, plus the rights to the brand in the U.K., Australia and the U.S. Theo, who died in 2010, got northern Germany and the rest of Europe; Theo's sons are also billionaires.",10,billionaires,25400.0,0,1.0,"{'name': 'Karl Albrecht', 'uri': 'karl-albrecht', 'imageExists': False}",True,Karl Albrecht,92.0,Germany,Mulheim an der Ruhr,Aldi,['Fashion and Retail'],Germany,1331243737265,1331243859282,0.0,0.0,0.0,0.0,0.0,faris/5/2012/7450,10,False,-100.0,-0.39215686274509665,True,D,M,-1573585200000.0,125.0,Albrecht,Karl,The World's Billionaires,http://onforb.es/1IR6Yer,http://onforb.es/1kMFbAp,http://onforb.es/1IR71XC,1330578000000,False,False,,,False,,,,,,,,,,,,,,,,,,,
